dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,31.600000000000023,32.610000000000014,31.0,32.22000000000003,1014,,,45,4.63,250,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,32.110000000000014,32.44,32.0,32.22000000000003,1014,,,40,6.17,270,,,,,0,800,Clear,clear sky,01d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,32.110000000000014,33.420000000000016,32.0,32.22000000000003,1014,,,45,4.12,260,,,,,0,800,Clear,clear sky,01d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,31.340000000000032,33.400000000000034,31.0,31.670000000000016,1014,,,51,5.14,260,,,,,0,800,Clear,clear sky,01d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,31.0,33.670000000000016,31.0,31.0,1013,,,55,4.12,280,,,,,0,800,Clear,clear sky,01d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,28.939999999999998,30.640000000000043,28.890000000000043,29.0,1013,,,58,3.09,270,,,,,0,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,29.0,31.189999999999998,29.0,29.0,1012,,,61,4.12,260,,,,,0,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,26.0,26.0,26.0,26.0,1013,,,73,2.06,260,,,,,0,800,Clear,clear sky,01d
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,24.0,24.75,24.0,24.0,1014,,,88,3.09,270,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,22.610000000000014,23.220000000000027,22.220000000000027,23.0,1014,,,88,1.83,53,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,22.05000000000001,22.77000000000004,21.110000000000014,23.0,1014,,,94,0.77,9,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,21.0,21.610000000000014,20.0,22.0,1014,,,94,1.35,45,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,20.100000000000023,20.620000000000005,18.33000000000004,22.0,1014,,,94,1.92,49,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,19.879999999999995,20.379999999999995,17.78000000000003,22.0,1013,,,94,1.63,48,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,19.850000000000023,20.350000000000023,17.78000000000003,22.0,1013,,,94,1.86,64,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Arta,39.158242,20.987684,19.840000000000032,20.180000000000007,16.670000000000016,23.0,1012,,,88,2.57,40,,,,,0,800,Clear,clear sky,01n
