dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.39000000000004,34.01000000000005,32.22000000000003,36.670000000000016,1013,,,31,5.14,180,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.960000000000036,34.410000000000025,32.22000000000003,37.78000000000003,1012,,,29,5.66,180,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.870000000000005,34.700000000000045,31.670000000000016,37.78000000000003,1012,,,31,4.12,190,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.660000000000025,34.19,32.22000000000003,36.670000000000016,1011,,,30,4.12,170,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,33.99000000000001,37.09000000000003,31.670000000000016,35.56,1011,,,46,5.14,170,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,32.860000000000014,35.460000000000036,31.110000000000014,34.44,1011,,,48,4.63,180,,,,,0,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,30.78000000000003,31.890000000000043,28.33000000000004,32.78000000000003,1012,,,48,3.09,170,,,,,0,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,29.439999999999998,30.82000000000005,27.78000000000003,30.560000000000002,1012,,,54,3.6,170,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.710000000000036,29.760000000000048,27.220000000000027,30.0,1012,,,54,2.06,180,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.410000000000025,29.350000000000023,27.220000000000027,29.439999999999998,1012,,,54,1.11,267,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.140000000000043,29.32000000000005,26.670000000000016,29.439999999999998,1012,,,57,0.51,0,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,27.670000000000016,28.689999999999998,25.560000000000002,29.439999999999998,1012,,,57,0.51,0,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,27.370000000000005,28.650000000000034,25.560000000000002,29.439999999999998,1012,,,61,1.03,0,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,27.010000000000048,28.170000000000016,25.0,28.33000000000004,1012,,,61,1.03,0,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,26.900000000000034,28.02000000000004,25.0,28.890000000000043,1012,,,61,0.51,0,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,26.450000000000045,26.450000000000045,24.439999999999998,28.890000000000043,1011,,,61,0.51,0,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,26.450000000000045,26.450000000000045,24.439999999999998,28.33000000000004,1012,,,61,0.51,0,,,,,0,800,Clear,clear sky,01d
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,27.07000000000005,28.25,25.0,29.439999999999998,1012,,,61,2.85,23,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,29.03000000000003,29.82000000000005,27.78000000000003,30.560000000000002,1012,,,51,2.53,20,,,,,0,800,Clear,clear sky,01d
1625032800,2021-06-30 06:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,30.850000000000023,31.010000000000048,29.439999999999998,32.22000000000003,1012,,,42,1.03,0,,,,,0,800,Clear,clear sky,01d
1625036400,2021-06-30 07:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,32.04000000000002,31.52000000000004,31.110000000000014,33.33000000000004,1012,,,35,1.32,9,,,,,0,800,Clear,clear sky,01d
1625040000,2021-06-30 08:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,32.94,32.379999999999995,31.110000000000014,34.44,1012,,,33,2.06,160,,,,,0,800,Clear,clear sky,01d
1625043600,2021-06-30 09:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,33.950000000000045,33.39000000000004,31.670000000000016,36.110000000000014,1012,,,31,2.06,200,,,,,0,800,Clear,clear sky,01d
1625047200,2021-06-30 10:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.960000000000036,34.22000000000003,32.78000000000003,37.22000000000003,1012,,,28,2.57,160,,,,,0,800,Clear,clear sky,01d
1625050800,2021-06-30 11:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,35.76000000000005,36.83000000000004,33.33000000000004,38.33000000000004,1011,,,34,4.12,200,,,,,0,800,Clear,clear sky,01d
1625054400,2021-06-30 12:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,35.52000000000004,35.670000000000016,33.33000000000004,37.78000000000003,1011,,,31,4.12,200,,,,,0,800,Clear,clear sky,01d
1625058000,2021-06-30 13:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,35.960000000000036,37.460000000000036,33.68000000000001,37.58000000000004,1010,,,35,1.34,252,,,,,0,800,Clear,clear sky,01d
1625061600,2021-06-30 14:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,35.64000000000004,37.19,33.120000000000005,38.420000000000016,1010,,,36,2.24,227,,,,,0,800,Clear,clear sky,01d
1625065200,2021-06-30 15:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,34.950000000000045,36.55000000000001,33.120000000000005,37.660000000000025,1010,,,38,1.34,231,,,,,0,800,Clear,clear sky,01d
1625068800,2021-06-30 16:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,33.78000000000003,36.10000000000002,31.05000000000001,36.75,1010,,,44,1.79,269,,,,,0,800,Clear,clear sky,01d
1625072400,2021-06-30 17:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,31.49000000000001,33.900000000000034,29.379999999999995,33.54000000000002,1011,,,52,1.34,177,,,,,0,800,Clear,clear sky,01d
1625076000,2021-06-30 18:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,30.390000000000043,32.360000000000014,29.03000000000003,31.730000000000018,1011,,,54,0.45,239,,,,,0,800,Clear,clear sky,01n
1625079600,2021-06-30 19:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,30.129999999999995,31.24000000000001,28.03000000000003,31.260000000000048,1011,,,50,0.45,147,,,,,0,800,Clear,clear sky,01n
1625083200,2021-06-30 20:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,29.75,30.689999999999998,27.57000000000005,31.180000000000007,1012,,,50,0.45,229,,,,,0,800,Clear,clear sky,01n
1625086800,2021-06-30 21:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,29.420000000000016,30.090000000000032,26.640000000000043,31.180000000000007,1011,,,49,0.45,208,,,,,0,800,Clear,clear sky,01n
1625090400,2021-06-30 22:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,29.220000000000027,29.950000000000045,26.710000000000036,30.629999999999995,1011,,,50,0.45,355,,,,,1,800,Clear,clear sky,01n
1625094000,2021-06-30 23:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.590000000000032,29.25,25.77000000000004,30.629999999999995,1010,,,51,0.89,360,,,,,1,800,Clear,clear sky,01n
1625097600,2021-07-01 00:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.350000000000023,29.060000000000002,25.140000000000043,30.07000000000005,1010,,,52,1.34,35,,,,,3,800,Clear,clear sky,01n
1625101200,2021-07-01 01:00:00 +0000 UTC,10800,Athens,37.98381,23.727539,28.060000000000002,28.80000000000001,25.439999999999998,30.03000000000003,1010,,,53,0.45,141,,,,,29,802,Clouds,scattered clouds,03n
