dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,33.620000000000005,31.960000000000036,30.560000000000002,35.0,1014,,,24,3.09,80,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,34.160000000000025,32.58000000000004,31.670000000000016,35.56,1014,,,24,3.6,40,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,34.670000000000016,33.18000000000001,32.22000000000003,36.0,1014,,,24,4.63,60,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,33.73000000000002,32.08000000000004,30.560000000000002,36.0,1014,,,24,4.63,60,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,32.72000000000003,31.180000000000007,28.890000000000043,35.0,1013,,,26,4.63,70,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,31.460000000000036,29.939999999999998,27.78000000000003,34.0,1013,,,27,4.63,90,,,,,20,801,Clouds,few clouds,02d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,30.670000000000016,29.170000000000016,26.670000000000016,34.0,1013,,,27,4.63,90,,,,,20,801,Clouds,few clouds,02d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,28.58000000000004,27.700000000000045,24.439999999999998,31.0,1013,,,33,3.6,80,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,27.150000000000034,26.600000000000023,22.220000000000027,30.0,1013,,,32,3.09,90,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,25.090000000000032,24.80000000000001,21.110000000000014,27.78000000000003,1014,,,44,1.53,104,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,26.060000000000002,26.060000000000002,24.0,27.78000000000003,1014,,,53,1.42,89,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Chalcis,38.468692,23.622873,23.120000000000005,22.950000000000045,20.560000000000002,25.560000000000002,1014,,,56,2.06,290,,,,,0,800,Clear,clear sky,01n
