dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,33.900000000000034,31.950000000000045,32.22000000000003,35.0,1016,,,21,5.14,320,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,34.48000000000002,32.58000000000004,32.22000000000003,36.0,1016,,,21,4.12,320,,,,,0,800,Clear,clear sky,01d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,34.48000000000002,33.25,32.22000000000003,36.0,1016,,,26,4.12,310,,,,,0,800,Clear,clear sky,01d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,34.22000000000003,32.650000000000034,31.670000000000016,36.0,1016,,,24,3.09,230,,,,,0,800,Clear,clear sky,01d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,35.0,34.27000000000004,35.0,35.0,1015,,,28,4.63,260,,,,,0,800,Clear,clear sky,01d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,31.939999999999998,30.640000000000043,28.890000000000043,34.0,1015,,,29,3.6,290,,,,,0,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,34.0,33.120000000000005,34.0,34.0,1015,,,29,3.6,300,,,,,0,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,31.0,30.5,31.0,31.0,1015,,,37,0.51,0,,,,,0,800,Clear,clear sky,01d
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,26.0,26.0,26.0,26.0,1016,,,50,0.51,0,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,22.689999999999998,22.58000000000004,22.220000000000027,23.0,1016,,,60,0.51,0,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,21.640000000000043,21.53000000000003,21.110000000000014,22.0,1017,,,64,0.51,0,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,20.600000000000023,20.49000000000001,20.0,21.0,1017,,,68,1.35,64,,,,,3,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,19.310000000000002,19.200000000000045,18.33000000000004,20.0,1017,,,73,0.51,0,,,,,3,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,18.510000000000048,18.430000000000007,17.78000000000003,19.0,1016,,,77,1.62,67,,,,,3,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,17.910000000000025,17.900000000000034,17.78000000000003,18.0,1016,,,82,1.65,59,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,16.870000000000005,16.910000000000025,16.670000000000016,17.0,1016,,,88,1.72,52,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,16.27000000000004,16.25,16.0,16.670000000000016,1016,,,88,0.51,0,,,,,0,800,Clear,clear sky,01n
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,16.0,15.950000000000045,16.0,16.0,1017,,,88,1.03,0,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,19.0,18.970000000000027,19.0,19.0,1017,,,77,1.01,56,,,,,0,800,Clear,clear sky,01d
1625032800,2021-06-30 06:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,24.0,24.129999999999995,24.0,24.0,1017,,,64,2.06,120,,,,,12,801,Clouds,few clouds,02d
1625036400,2021-06-30 07:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,27.0,27.420000000000016,27.0,27.0,1017,,,50,1.54,0,,,,,0,800,Clear,clear sky,01d
1625040000,2021-06-30 08:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,27.32000000000005,27.730000000000018,27.0,27.78000000000003,1017,,,50,1.54,0,,,,,0,800,Clear,clear sky,01d
1625043600,2021-06-30 09:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,32.09000000000003,31.58000000000004,32.0,32.22000000000003,1016,,,35,1.54,0,,,,,0,800,Clear,clear sky,01d
1625047200,2021-06-30 10:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,34.55000000000001,32.900000000000034,33.89000000000004,35.0,1015,,,23,2.06,110,,,,,0,800,Clear,clear sky,01d
1625050800,2021-06-30 11:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,38.0,36.06,38.0,38.0,1015,,,17,1.54,0,,,,,0,800,Clear,clear sky,01d
1625054400,2021-06-30 12:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,36.57000000000005,34.56,34.44,38.0,1015,,,18,4.63,290,,,,,0,800,Clear,clear sky,01d
1625058000,2021-06-30 13:00:00 +0000 UTC,10800,Ioannina,39.665029,20.853747,36.860000000000014,35.05000000000001,36.860000000000014,39.18000000000001,1015,,,19,5.14,300,,,,,22,801,Clouds,few clouds,02d
