dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.49000000000001,32.07000000000005,31.110000000000014,32.0,1014,,,43,5.66,160,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,32.450000000000045,32.39000000000004,32.0,32.78000000000003,1014,,,37,5.14,160,,,,,0,800,Clear,clear sky,01d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,32.76000000000005,33.410000000000025,32.0,33.33000000000004,1014,,,40,3.6,170,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.060000000000002,32.920000000000016,31.0,31.110000000000014,1014,,,51,3.6,170,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.27000000000004,34.910000000000025,30.0,32.22000000000003,1013,,,58,2.57,190,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.27000000000004,33.28000000000003,30.0,32.22000000000003,1013,,,51,2.57,160,,,,,20,801,Clouds,few clouds,02d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,29.890000000000043,32.24000000000001,29.0,30.560000000000002,1013,,,58,0.24,204,,,,,0,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,27.970000000000027,31.720000000000027,26.0,29.439999999999998,1013,,,78,0.44,330,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,26.170000000000016,26.170000000000016,24.0,27.78000000000003,1013,,,88,1.04,350,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,25.100000000000023,26.120000000000005,23.0,26.670000000000016,1014,,,94,1.37,354,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,24.360000000000014,25.150000000000034,22.0,26.110000000000014,1014,,,88,1.54,0,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,24.25,24.900000000000034,21.0,26.670000000000016,1014,,,83,1.03,0,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,23.930000000000007,24.28000000000003,21.0,26.110000000000014,1013,,,73,1.54,0,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,23.5,23.920000000000016,20.0,26.110000000000014,1013,,,77,1.03,0,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,23.189999999999998,23.470000000000027,20.0,25.560000000000002,1013,,,73,2.06,340,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,22.760000000000048,22.970000000000027,19.0,25.560000000000002,1012,,,72,1.03,0,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,22.460000000000036,22.640000000000043,19.0,25.0,1012,,,72,1.66,16,,,,,0,800,Clear,clear sky,01n
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,22.010000000000048,22.28000000000003,18.0,25.0,1012,,,77,1.52,348,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,20.0,19.960000000000036,20.0,20.0,1013,,,73,0.76,20,,,,,0,800,Clear,clear sky,01d
1625032800,2021-06-30 06:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,25.0,25.150000000000034,25.0,25.0,1013,,,61,0.19,283,,,,,0,800,Clear,clear sky,01d
1625036400,2021-06-30 07:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,29.0,30.730000000000018,29.0,29.0,1013,,,58,0.57,149,,,,,0,800,Clear,clear sky,01d
1625040000,2021-06-30 08:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,30.0,30.32000000000005,30.0,30.0,1013,,,45,2.57,150,,,,,0,800,Clear,clear sky,01d
1625043600,2021-06-30 09:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,30.0,30.74000000000001,30.0,30.0,1013,,,48,3.09,150,,,,,0,800,Clear,clear sky,01d
1625047200,2021-06-30 10:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.0,32.23000000000002,31.0,31.0,1013,,,48,4.63,150,,,,,0,800,Clear,clear sky,01d
1625050800,2021-06-30 11:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,32.0,32.84000000000003,32.0,32.0,1013,,,43,3.6,150,,,,,0,800,Clear,clear sky,01d
1625054400,2021-06-30 12:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,32.450000000000045,32.39000000000004,32.0,32.78000000000003,1013,,,37,4.12,170,,,,,0,800,Clear,clear sky,01d
1625058000,2021-06-30 13:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,35.620000000000005,36.59000000000003,32.870000000000005,35.620000000000005,1011,,,34,0.45,204,,,,,0,800,Clear,clear sky,01d
1625061600,2021-06-30 14:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,31.170000000000016,32.31,30.870000000000005,31.170000000000016,1011,,,47,0.45,202,,,,,0,800,Clear,clear sky,01d
1625065200,2021-06-30 15:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,30.620000000000005,31.82000000000005,28.870000000000005,30.620000000000005,1011,,,49,3.09,170,,,,,0,800,Clear,clear sky,01d
1625068800,2021-06-30 16:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,30.060000000000002,32.75,28.870000000000005,30.060000000000002,1011,,,59,2.06,160,,,,,0,800,Clear,clear sky,01d
1625072400,2021-06-30 17:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,30.060000000000002,31.99000000000001,27.870000000000005,30.060000000000002,1012,,,55,0.0,0,,,,,0,800,Clear,clear sky,01d
1625076000,2021-06-30 18:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,28.950000000000045,32.08000000000004,26.870000000000005,28.950000000000045,1011,,,67,0.45,248,,,,,0,800,Clear,clear sky,01n
1625079600,2021-06-30 19:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,27.840000000000032,31.010000000000048,24.870000000000005,27.840000000000032,1012,,,75,0.0,0,,,,,0,800,Clear,clear sky,01n
1625083200,2021-06-30 20:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,27.28000000000003,29.840000000000032,23.870000000000005,27.28000000000003,1012,,,75,0.51,0,,,,,0,800,Clear,clear sky,01n
1625086800,2021-06-30 21:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,27.840000000000032,30.360000000000014,21.870000000000005,27.840000000000032,1011,,,70,0.0,0,,,,,1,800,Clear,clear sky,01n
1625090400,2021-06-30 22:00:00 +0000 UTC,10800,Kalamata,37.036639,22.114372,27.28000000000003,29.730000000000018,21.870000000000005,27.28000000000003,1011,,,74,1.03,0,,,,,23,801,Clouds,few clouds,02n
