dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,33.18000000000001,31.28000000000003,33.0,33.33000000000004,1018,,,22,3.09,110,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,35.0,32.83000000000004,35.0,35.0,1017,,,18,3.09,110,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,35.30000000000001,33.150000000000034,35.0,35.56,1016,,,18,3.09,100,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,35.31,33.160000000000025,35.0,35.56,1016,,,18,3.09,100,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,36.360000000000014,33.610000000000014,36.0,36.670000000000016,1016,,,11,3.09,270,,,,,4,800,Clear,clear sky,01d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,35.30000000000001,33.379999999999995,35.0,35.56,1015,,,20,3.09,160,,,,,3,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,33.94,31.900000000000034,33.89000000000004,34.0,1015,,,20,2.06,160,,,,,2,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,29.0,28.52000000000004,29.0,29.0,1016,,,39,1.54,0,,,,,2,800,Clear,clear sky,01d
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,26.0,26.0,26.0,26.0,1016,,,53,1.03,0,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,24.0,24.260000000000048,24.0,24.0,1017,,,69,1.54,0,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,24.0,24.129999999999995,24.0,24.0,1017,,,64,1.54,0,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,23.0,23.129999999999995,23.0,23.0,1017,,,68,1.54,0,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,22.0,22.160000000000025,22.0,22.0,1017,,,73,1.54,0,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,22.0,22.160000000000025,22.0,22.0,1017,,,73,2.06,340,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,22.0,22.160000000000025,22.0,22.0,1017,,,73,1.54,0,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,20.0,20.220000000000027,20.0,20.0,1017,,,83,1.54,0,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,19.0,19.25,19.0,19.0,1017,,,88,0.54,229,,,,,0,800,Clear,clear sky,01d
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,19.0,19.25,19.0,19.0,1017,,,88,0.37,202,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Kozani,40.300559,21.788774,23.0,23.260000000000048,23.0,23.0,1018,,,73,0.93,190,,,,,0,800,Clear,clear sky,01d
