dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,32.410000000000025,33.920000000000016,32.0,32.78000000000003,1014,,,45,6.17,70,,,,,20,801,Clouds,few clouds,02d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,33.170000000000016,33.629999999999995,33.0,33.33000000000004,1013,,,38,6.17,100,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,33.47000000000003,34.54000000000002,33.0,33.89000000000004,1013,,,40,7.72,110,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,32.72000000000003,34.450000000000045,32.0,33.33000000000004,1013,,,45,7.72,110,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,32.52000000000004,34.83000000000004,31.0,33.89000000000004,1012,,,48,7.2,100,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,31.03000000000003,49.150000000000034,30.0,32.22000000000003,1013,,,100,3.5,117,,,,,2,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,30.80000000000001,48.01000000000005,30.0,31.670000000000016,1013,,,100,2.74,121,,,,,1,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,30.0,44.19,30.0,30.0,1014,,,100,2.07,124,,,,,1,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,27.410000000000025,29.470000000000027,27.0,27.78000000000003,1012,,,69,3.6,70,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,27.110000000000014,28.620000000000005,27.0,27.220000000000027,1013,,,65,3.09,70,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,25.77000000000004,26.100000000000023,25.560000000000002,26.0,1013,,,65,1.02,134,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,24.53000000000003,24.939999999999998,24.0,25.0,1013,,,73,0.35,201,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Lamia,38.899732,22.433667,24.24000000000001,24.629999999999995,24.0,24.439999999999998,1013,,,73,0.66,196,,,,,0,800,Clear,clear sky,01n
