dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,35.879999999999995,36.48000000000002,35.56,36.110000000000014,1013,,,32,2.09,152,,,,,0,800,Clear,clear sky,01d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,36.960000000000036,37.69,36.670000000000016,37.22000000000003,1013,,,30,4.12,110,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,36.48000000000002,38.07000000000005,36.0,36.670000000000016,1013,,,34,3.09,80,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,36.08000000000004,37.370000000000005,36.0,36.110000000000014,1013,,,34,3.09,80,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,35.0,36.629999999999995,35.0,35.0,1012,,,38,6.69,70,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,33.64000000000004,36.400000000000034,33.0,33.89000000000004,1011,,,46,7.2,70,,,,,20,801,Clouds,few clouds,02d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,32.44,34.200000000000045,32.22000000000003,33.0,1011,,,46,7.2,70,,,,,20,801,Clouds,few clouds,02d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,30.27000000000004,31.620000000000005,30.0,31.0,1012,,,51,6.17,80,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,27.950000000000045,29.950000000000045,27.0,28.33000000000004,1012,,,65,3.09,90,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,27.27000000000004,29.220000000000027,26.0,27.78000000000003,1013,,,69,2.06,80,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,26.870000000000005,29.28000000000003,26.0,27.220000000000027,1013,,,78,2.06,80,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,26.870000000000005,28.560000000000002,26.0,27.220000000000027,1013,,,69,3.09,80,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Larissa,39.639022,22.419125,26.49000000000001,26.49000000000001,26.0,26.670000000000016,1013,,,69,3.09,80,,,,,0,800,Clear,clear sky,01n
