dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.400000000000034,33.98000000000002,31.670000000000016,34.44,1014,,,38,4.63,160,,,,,20,801,Clouds,few clouds,02d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.10000000000002,34.629999999999995,31.670000000000016,34.44,1014,,,43,5.66,200,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.08000000000004,34.60000000000002,32.22000000000003,34.0,1013,,,43,5.66,180,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,32.360000000000014,34.06,31.110000000000014,33.33000000000004,1013,,,46,5.66,200,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,31.939999999999998,33.79000000000002,30.0,33.33000000000004,1013,,,48,5.14,190,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,31.700000000000045,32.76000000000005,30.0,33.89000000000004,1012,,,45,5.14,190,,,,,0,800,Clear,clear sky,01d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,30.5,31.470000000000027,28.890000000000043,31.670000000000016,1012,,,48,6.17,170,,,,,0,800,Clear,clear sky,01d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,29.07000000000005,31.310000000000002,27.78000000000003,30.560000000000002,1013,,,61,4.12,160,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,28.140000000000043,30.27000000000004,26.670000000000016,28.890000000000043,1013,,,65,3.09,160,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,27.52000000000004,29.25,25.560000000000002,28.890000000000043,1014,,,65,2.57,140,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,27.0,28.77000000000004,25.0,27.78000000000003,1014,,,69,1.54,150,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.650000000000034,26.650000000000034,25.0,27.78000000000003,1014,,,78,2.06,90,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.05000000000001,26.05000000000001,22.78000000000003,27.78000000000003,1014,,,78,2.57,110,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.650000000000034,26.439999999999998,23.0,26.670000000000016,1014,,,83,1.54,110,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.230000000000018,25.850000000000023,22.220000000000027,26.670000000000016,1013,,,78,2.57,110,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.090000000000032,25.689999999999998,23.0,26.110000000000014,1014,,,78,1.03,100,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,24.350000000000023,25.010000000000048,22.0,26.110000000000014,1014,,,83,2.06,120,,,,,0,800,Clear,clear sky,01d
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.010000000000048,24.170000000000016,22.220000000000027,26.670000000000016,1020,,,23,1.05,354,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.49000000000001,26.49000000000001,24.439999999999998,27.78000000000003,1015,,,74,0.45,180,,,,,0,800,Clear,clear sky,01d
1625032800,2021-06-30 06:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,27.439999999999998,29.52000000000004,26.110000000000014,28.890000000000043,1015,,,69,2.06,270,,,,,0,800,Clear,clear sky,01d
1625036400,2021-06-30 07:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,29.129999999999995,34.660000000000025,26.670000000000016,31.670000000000016,1015,,,78,2.06,290,,,,,0,800,Clear,clear sky,01d
1625040000,2021-06-30 08:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,30.75,38.120000000000005,28.0,32.78000000000003,1014,,,74,2.06,280,,,,,0,800,Clear,clear sky,01d
1625043600,2021-06-30 09:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,32.51000000000005,38.97000000000003,30.0,35.0,1014,,,62,3.09,300,,,,,0,800,Clear,clear sky,01d
1625047200,2021-06-30 10:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,32.460000000000036,36.620000000000005,30.560000000000002,33.89000000000004,1014,,,55,4.63,290,,,,,0,800,Clear,clear sky,01d
1625050800,2021-06-30 11:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,32.89000000000004,37.56,32.0,33.89000000000004,1013,,,55,2.57,310,,,,,0,800,Clear,clear sky,01d
1625054400,2021-06-30 12:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.920000000000016,34.35000000000002,32.22000000000003,35.56,1012,,,36,4.63,170,,,,,0,800,Clear,clear sky,01d
1625058000,2021-06-30 13:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,34.129999999999995,37.68000000000001,30.210000000000036,37.48000000000002,1012,,,47,1.79,225,,,,,0,800,Clear,clear sky,01d
1625061600,2021-06-30 14:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.57000000000005,38.110000000000014,30.210000000000036,36.920000000000016,1012,,,52,1.34,225,,,,,0,800,Clear,clear sky,01d
1625065200,2021-06-30 15:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,32.59000000000003,37.51000000000005,29.670000000000016,35.110000000000014,1012,,,57,1.34,225,,,,,0,800,Clear,clear sky,01d
1625068800,2021-06-30 16:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,31.310000000000002,34.5,29.650000000000034,33.450000000000045,1012,,,56,1.34,225,,,,,0,800,Clear,clear sky,01d
1625072400,2021-06-30 17:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,30.25,32.51000000000005,28.54000000000002,32.69,1012,,,56,0.89,225,,,,,0,800,Clear,clear sky,01d
1625076000,2021-06-30 18:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,29.439999999999998,31.629999999999995,27.33000000000004,31.08000000000004,1012,,,59,0.89,180,,,,,0,800,Clear,clear sky,01d
1625079600,2021-06-30 19:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,28.58000000000004,31.200000000000045,26.32000000000005,30.060000000000002,1013,,,66,0.45,135,,,,,0,800,Clear,clear sky,01n
1625083200,2021-06-30 20:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,28.08000000000004,30.170000000000016,25.670000000000016,29.410000000000025,1013,,,65,0.45,90,,,,,0,800,Clear,clear sky,01n
1625086800,2021-06-30 21:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,27.640000000000043,29.54000000000002,24.650000000000034,28.860000000000014,1012,,,66,0.45,68,,,,,0,800,Clear,clear sky,01n
1625090400,2021-06-30 22:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,27.160000000000025,28.689999999999998,24.560000000000002,28.30000000000001,1012,,,65,2.24,355,,,,,0,800,Clear,clear sky,01n
1625094000,2021-06-30 23:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.870000000000005,28.340000000000032,24.0,28.30000000000001,1012,,,66,2.24,19,,,,,0,800,Clear,clear sky,01n
1625097600,2021-07-01 00:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.379999999999995,26.379999999999995,22.890000000000043,28.30000000000001,1012,,,68,2.68,17,,,,,0,800,Clear,clear sky,01n
1625101200,2021-07-01 01:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.620000000000005,25.960000000000036,22.400000000000034,27.689999999999998,1011,,,66,3.13,8,,,,,0,800,Clear,clear sky,01n
1625104800,2021-07-01 02:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.28000000000003,25.610000000000014,21.870000000000005,27.129999999999995,1012,,,67,0.89,135,,,,,0,800,Clear,clear sky,01n
1625108400,2021-07-01 03:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.25,25.58000000000004,22.400000000000034,26.730000000000018,1011,,,67,0.45,68,,,,,0,800,Clear,clear sky,01d
1625112000,2021-07-01 04:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,25.189999999999998,25.510000000000048,22.400000000000034,26.640000000000043,1011,,,67,0.45,45,,,,,0,800,Clear,clear sky,01d
1625115600,2021-07-01 05:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,26.620000000000005,26.620000000000005,24.200000000000045,28.590000000000032,1010,,,70,0.45,225,,,,,0,800,Clear,clear sky,01d
1625119200,2021-07-01 06:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,28.060000000000002,30.390000000000043,25.210000000000036,30.25,1010,,,67,0.45,180,,,,,0,800,Clear,clear sky,01d
1625122800,2021-07-01 07:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,29.590000000000032,32.629999999999995,26.32000000000005,32.89000000000004,1010,,,63,0.89,225,,,,,0,800,Clear,clear sky,01d
1625126400,2021-07-01 08:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,31.610000000000014,35.629999999999995,28.54000000000002,35.110000000000014,1010,,,58,1.79,195,,,,,0,800,Clear,clear sky,01d
1625130000,2021-07-01 09:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.379999999999995,36.18000000000001,28.54000000000002,37.19,1010,,,47,2.24,235,,,,,0,800,Clear,clear sky,01d
1625133600,2021-07-01 10:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,34.19,37.81,29.650000000000034,38.30000000000001,1010,,,47,2.24,128,,,,,0,800,Clear,clear sky,01d
1625137200,2021-07-01 11:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,35.58000000000004,40.08000000000004,30.640000000000043,39.97000000000003,1009,,,45,2.68,155,,,,,0,800,Clear,clear sky,01d
1625140800,2021-07-01 12:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,35.35000000000002,41.93000000000001,30.210000000000036,40.47000000000003,1008,,,51,0.89,68,,,,,20,801,Clouds,few clouds,02d
1625144400,2021-07-01 13:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,35.410000000000025,41.660000000000025,31.640000000000043,39.0,1007,,,50,1.34,208,,,,,20,801,Clouds,few clouds,02d
1625148000,2021-07-01 14:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,35.30000000000001,41.81,31.340000000000032,37.48000000000002,1006,,,51,2.68,262,,,,,20,801,Clouds,few clouds,02d
1625151600,2021-07-01 15:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,34.93000000000001,41.93000000000001,31.08000000000004,37.33000000000004,1005,,,55,0.89,225,,,,,20,801,Clouds,few clouds,02d
1625155200,2021-07-01 16:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,33.200000000000045,40.200000000000045,30.230000000000018,36.370000000000005,1005,,,62,5.81,200,,,,,0,800,Clear,clear sky,01d
1625158800,2021-07-01 17:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,31.390000000000043,37.710000000000036,29.650000000000034,34.910000000000025,1005,,,67,0.89,203,,,,,0,800,Clear,clear sky,01d
1625162400,2021-07-01 18:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,30.180000000000007,35.23000000000002,27.980000000000018,31.730000000000018,1006,,,69,0.89,158,,,,,0,800,Clear,clear sky,01d
1625166000,2021-07-01 19:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,29.04000000000002,33.39000000000004,26.32000000000005,30.060000000000002,1006,,,73,0.89,225,,,,,0,800,Clear,clear sky,01n
1625169600,2021-07-01 20:00:00 +0000 UTC,10800,Thessaloniki,40.637115,22.945228,28.77000000000004,32.23000000000002,25.760000000000048,29.970000000000027,1007,,,70,0.89,135,,,,,0,800,Clear,clear sky,01n
