dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1624964400,2021-06-29 11:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,32.0,33.24000000000001,32.0,32.0,1014,,,45,6.17,70,,,,,20,801,Clouds,few clouds,02d
1624968000,2021-06-29 12:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.0,33.370000000000005,33.0,33.0,1013,,,38,6.17,100,,,,,20,801,Clouds,few clouds,02d
1624971600,2021-06-29 13:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.0,33.78000000000003,33.0,33.0,1013,,,40,7.72,110,,,,,20,801,Clouds,few clouds,02d
1624975200,2021-06-29 14:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,32.0,33.24000000000001,32.0,32.0,1013,,,45,7.72,110,,,,,20,801,Clouds,few clouds,02d
1624978800,2021-06-29 15:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.0,32.23000000000002,31.0,31.0,1012,,,48,7.2,100,,,,,20,801,Clouds,few clouds,02d
1624982400,2021-06-29 16:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,30.0,31.210000000000036,30.0,30.0,1012,,,51,7.72,100,,,,,20,801,Clouds,few clouds,02d
1624986000,2021-06-29 17:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,30.0,31.710000000000036,30.0,30.0,1012,,,54,7.72,100,,,,,20,801,Clouds,few clouds,02d
1624989600,2021-06-29 18:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,28.0,30.03000000000003,28.0,28.0,1012,,,65,3.6,80,,,,,0,800,Clear,clear sky,01n
1624993200,2021-06-29 19:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.0,28.77000000000004,27.0,27.0,1012,,,69,3.6,70,,,,,0,800,Clear,clear sky,01n
1624996800,2021-06-29 20:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.0,28.450000000000045,27.0,27.0,1013,,,65,3.09,70,,,,,0,800,Clear,clear sky,01n
1625000400,2021-06-29 21:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,26.0,26.0,26.0,26.0,1013,,,65,2.13,102,,,,,0,800,Clear,clear sky,01n
1625004000,2021-06-29 22:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.0,24.360000000000014,24.0,24.0,1013,,,73,1.12,92,,,,,0,800,Clear,clear sky,01n
1625007600,2021-06-29 23:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.0,24.360000000000014,24.0,24.0,1013,,,73,1.05,109,,,,,0,800,Clear,clear sky,01n
1625011200,2021-06-30 00:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,23.0,23.260000000000048,23.0,23.0,1013,,,73,0.12,279,,,,,0,800,Clear,clear sky,01n
1625014800,2021-06-30 01:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,23.0,23.260000000000048,23.0,23.0,1013,,,73,0.22,9,,,,,0,800,Clear,clear sky,01n
1625018400,2021-06-30 02:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,22.0,22.160000000000025,22.0,22.0,1013,,,73,0.42,10,,,,,0,800,Clear,clear sky,01n
1625022000,2021-06-30 03:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,22.0,22.160000000000025,22.0,22.0,1013,,,73,0.45,344,,,,,0,800,Clear,clear sky,01d
1625025600,2021-06-30 04:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,21.0,21.189999999999998,21.0,21.0,1013,,,78,0.29,330,,,,,0,800,Clear,clear sky,01d
1625029200,2021-06-30 05:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,25.0,25.25,25.0,25.0,1014,,,65,0.34,249,,,,,0,800,Clear,clear sky,01d
1625032800,2021-06-30 06:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.0,29.420000000000016,29.0,29.0,1014,,,48,0.37,133,,,,,0,800,Clear,clear sky,01d
1625036400,2021-06-30 07:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.0,29.420000000000016,29.0,29.0,1014,,,48,2.06,80,,,,,0,800,Clear,clear sky,01d
1625040000,2021-06-30 08:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,30.0,30.32000000000005,30.0,30.0,1014,,,45,2.57,70,,,,,0,800,Clear,clear sky,01d
1625043600,2021-06-30 09:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.0,31.210000000000036,31.0,31.0,1014,,,42,4.12,80,,,,,0,800,Clear,clear sky,01d
1625047200,2021-06-30 10:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.0,32.82000000000005,31.0,31.0,1013,,,51,3.6,70,,,,,0,800,Clear,clear sky,01d
1625050800,2021-06-30 11:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,32.0,32.84000000000003,32.0,32.0,1013,,,43,4.12,80,,,,,0,800,Clear,clear sky,01d
1625054400,2021-06-30 12:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.0,33.370000000000005,33.0,33.0,1012,,,38,4.63,80,,,,,0,800,Clear,clear sky,01d
1625058000,2021-06-30 13:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.710000000000036,37.14000000000004,31.04000000000002,38.710000000000036,1012,,,48,3.42,121,,,,,2,800,Clear,clear sky,01d
1625061600,2021-06-30 14:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,32.910000000000025,35.83000000000004,30.49000000000001,38.160000000000025,1012,,,49,3.87,125,,,,,1,800,Clear,clear sky,01d
1625065200,2021-06-30 15:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,32.670000000000016,35.910000000000025,29.930000000000007,37.420000000000016,1012,,,51,2.97,139,,,,,1,800,Clear,clear sky,01d
1625068800,2021-06-30 16:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.470000000000027,34.33000000000004,28.82000000000005,34.82000000000005,1011,,,54,2.67,131,,,,,15,801,Clouds,few clouds,02d
1625072400,2021-06-30 17:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,30.310000000000002,32.81,28.27000000000004,32.60000000000002,1011,,,57,1.92,142,,,,,31,802,Clouds,scattered clouds,03d
1625076000,2021-06-30 18:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,28.370000000000005,30.140000000000043,27.710000000000036,30.379999999999995,1012,,,61,1.89,12,,,,,42,802,Clouds,scattered clouds,03n
1625079600,2021-06-30 19:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.310000000000002,28.83000000000004,26.99000000000001,29.27000000000004,1014,,,64,4.54,39,,,,,71,803,Clouds,broken clouds,04n
1625083200,2021-06-30 20:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.25,28.57000000000005,26.99000000000001,29.379999999999995,1013,,,62,3.59,149,,,,,83,803,Clouds,broken clouds,04n
1625086800,2021-06-30 21:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,25.52000000000004,25.720000000000027,24.99000000000001,28.710000000000036,1012,,,61,3.7,190,,,,,88,804,Clouds,overcast clouds,04n
1625090400,2021-06-30 22:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.560000000000002,24.79000000000002,23.99000000000001,28.160000000000025,1013,,,66,1.84,204,,,,,90,804,Clouds,overcast clouds,04n
1625094000,2021-06-30 23:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.470000000000027,24.640000000000043,23.99000000000001,28.82000000000005,1012,,,64,1.1,240,,,,,72,803,Clouds,broken clouds,04n
1625097600,2021-07-01 00:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,23.610000000000014,23.590000000000032,22.99000000000001,28.27000000000004,1012,,,60,1.29,274,,,,,62,803,Clouds,broken clouds,04n
1625101200,2021-07-01 01:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,26.49000000000001,26.49000000000001,23.420000000000016,26.49000000000001,1011,,,57,1.34,288,,,,,36,802,Clouds,scattered clouds,03n
1625104800,2021-07-01 02:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,22.390000000000043,22.200000000000045,21.99000000000001,28.27000000000004,1011,,,58,0.73,296,,,,,18,801,Clouds,few clouds,02n
1625108400,2021-07-01 03:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,21.390000000000043,21.129999999999995,20.99000000000001,28.82000000000005,1011,,,59,0.89,306,,,,,13,801,Clouds,few clouds,02n
1625112000,2021-07-01 04:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,22.370000000000005,22.180000000000007,21.99000000000001,28.27000000000004,1011,,,58,0.77,283,,,,,9,800,Clear,clear sky,01d
1625115600,2021-07-01 05:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,25.180000000000007,25.160000000000025,24.420000000000016,29.930000000000007,1011,,,54,0.82,235,,,,,8,800,Clear,clear sky,01d
1625119200,2021-07-01 06:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.010000000000048,29.55000000000001,28.04000000000002,29.82000000000005,1011,,,49,0.5,204,,,,,6,800,Clear,clear sky,01d
1625122800,2021-07-01 07:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.200000000000045,29.010000000000048,28.99000000000001,33.27000000000004,1010,,,42,0.39,217,,,,,0,800,Clear,clear sky,01d
1625126400,2021-07-01 08:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.420000000000016,29.04000000000002,28.99000000000001,34.82000000000005,1010,,,40,0.49,216,,,,,0,800,Clear,clear sky,01d
1625130000,2021-07-01 09:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,30.0,29.360000000000014,29.99000000000001,36.420000000000016,1009,,,37,0.44,134,,,,,0,800,Clear,clear sky,01d
1625133600,2021-07-01 10:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.0,32.98000000000002,32.99000000000001,38.420000000000016,1009,,,36,0.28,113,,,,,0,800,Clear,clear sky,01d
1625137200,2021-07-01 11:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.82000000000005,34.200000000000045,30.04000000000002,39.420000000000016,1008,,,36,0.88,204,,,,,0,800,Clear,clear sky,01d
1625140800,2021-07-01 12:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.75,33.68000000000001,30.04000000000002,41.420000000000016,1007,,,34,2.6,201,,,,,1,800,Clear,clear sky,01d
1625144400,2021-07-01 13:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,34.57000000000005,34.68000000000001,30.04000000000002,40.94,1006,,,33,1.93,198,,,,,0,800,Clear,clear sky,01d
1625148000,2021-07-01 14:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,34.72000000000003,35.879999999999995,32.04000000000002,41.14000000000004,1006,,,37,1.04,208,,,,,1,800,Clear,clear sky,01d
1625151600,2021-07-01 15:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,35.77000000000004,38.03000000000003,34.99000000000001,41.420000000000016,1006,,,38,1.1,254,,,,,1,800,Clear,clear sky,01d
1625155200,2021-07-01 16:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,37.73000000000002,41.14000000000004,32.04000000000002,39.47000000000003,1005,,,36,2.19,248,,,,,2,800,Clear,clear sky,01d
1625158800,2021-07-01 17:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,37.94,41.98000000000002,37.25,37.99000000000001,1005,,,37,3.88,257,,,,,1,800,Clear,clear sky,01d
1625162400,2021-07-01 18:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,35.05000000000001,35.18000000000001,34.99000000000001,35.59000000000003,1006,,,32,5.37,281,,,,,1,800,Clear,clear sky,01n
1625166000,2021-07-01 19:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,33.04000000000002,33.23000000000002,32.99000000000001,33.710000000000036,1007,,,37,4.13,280,,,,,0,800,Clear,clear sky,01n
1625169600,2021-07-01 20:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.0,30.260000000000048,30.99000000000001,32.81,1007,,,35,5.08,280,,,,,3,800,Clear,clear sky,01n
1625173200,2021-07-01 21:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,31.0,30.379999999999995,30.99000000000001,31.700000000000045,1007,,,36,4.48,289,,,,,3,800,Clear,clear sky,01n
1625176800,2021-07-01 22:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.03000000000003,28.55000000000001,28.99000000000001,31.140000000000043,1008,,,39,3.56,289,,,,,3,800,Clear,clear sky,01n
1625180400,2021-07-01 23:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,28.05000000000001,27.78000000000003,27.99000000000001,30.590000000000032,1008,,,41,3.75,279,,,,,3,800,Clear,clear sky,01n
1625184000,2021-07-02 00:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.04000000000002,27.0,26.99000000000001,29.470000000000027,1008,,,42,3.63,277,,,,,3,800,Clear,clear sky,01n
1625187600,2021-07-02 01:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,26.060000000000002,26.060000000000002,25.99000000000001,29.420000000000016,1008,,,43,3.81,280,,,,,0,800,Clear,clear sky,01n
1625191200,2021-07-02 02:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.05000000000001,23.660000000000025,23.99000000000001,27.160000000000025,1008,,,44,3.78,282,,,,,0,800,Clear,clear sky,01n
1625194800,2021-07-02 03:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,23.090000000000032,22.58000000000004,22.99000000000001,27.160000000000025,1008,,,43,3.27,288,,,,,0,800,Clear,clear sky,01n
1625198400,2021-07-02 04:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,24.03000000000003,23.610000000000014,23.420000000000016,26.600000000000023,1008,,,43,3.16,289,,,,,0,800,Clear,clear sky,01d
1625202000,2021-07-02 05:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,27.360000000000014,27.189999999999998,26.140000000000043,30.04000000000002,1008,,,41,3.72,289,,,,,0,800,Clear,clear sky,01d
1625205600,2021-07-02 06:00:00 +0000 UTC,10800,Volos,39.366584,22.950677,29.310000000000002,28.49000000000001,28.27000000000004,31.04000000000002,1009,,,35,3.99,292,,,,,1,800,Clear,clear sky,01d
